configuration,matched_vrs_epochs,rmse_m,median_m,p95_m,final_error_m,start_rmse_m,start_median_m,start_p95_m,start_final_error_m,start_alignment_yaw_deg,start_alignment_baseline_m
gps,314,2.442206,1.898788,4.567801,1.290923,4.092620,3.384849,8.637139,3.836905,89.685609,21.367194
base,314,188.456338,108.538844,348.793020,150.986026,397.401445,330.111663,752.337146,592.375050,89.685609,21.367194
visual,314,197.714684,110.518112,367.850288,156.702600,412.400176,335.723539,779.626384,618.272279,89.681252,21.367194
vio,314,181.379729,101.082434,340.740225,150.177660,392.598426,346.689083,729.035678,569.760924,89.889364,21.367194
gps_dropout,314,169.767597,107.180606,272.585553,128.727042,284.720414,95.218863,608.263168,474.670373,89.690114,21.367194
gps_sparse,314,40.789119,14.576930,110.317733,95.190974,43.262014,17.763596,114.849204,96.392427,89.690128,21.367194
