configuration,matched_vrs_epochs,rmse_m,median_m,p95_m,final_error_m,start_rmse_m,start_median_m,start_p95_m,start_final_error_m,start_alignment_yaw_deg,start_alignment_baseline_m
gps,908,2.487429,2.176913,4.337238,2.677874,21.276829,20.931333,29.179864,11.850963,135.562768,23.832193
base,908,83.827634,41.392649,148.781997,348.582200,119.094334,103.554504,150.748826,404.106442,135.562768,23.832193
visual,908,87.403179,40.727268,166.109544,366.432722,160.181027,152.832649,237.351544,417.636280,135.555323,23.832193
vio,908,76.906676,40.504310,128.360706,324.985208,102.373129,88.323271,131.556024,372.198920,135.259038,23.832193
gps_dropout,908,13.570403,6.487598,45.679159,3.409283,25.194980,21.839366,52.977894,11.873087,135.564817,23.832193
gps_sparse,908,3.822802,2.499580,8.842570,10.885825,22.275849,22.552143,29.218692,5.312488,135.564818,23.832193
