configuration,matched_vrs_epochs,rmse_m,median_m,p95_m,final_error_m,start_rmse_m,start_median_m,start_p95_m,start_final_error_m,start_alignment_yaw_deg,start_alignment_baseline_m
gps,169,0.657379,0.560948,1.083676,0.805142,6.395414,5.979778,9.902849,10.240569,-74.409109,33.908008
base,169,4.152881,3.104002,7.023814,13.546977,52.033841,46.528704,92.129073,103.927551,-74.409109,33.908008
visual,169,4.152881,3.104002,7.023814,13.546977,52.033841,46.528704,92.129073,103.927551,-74.409109,33.908008
vio,169,4.625286,4.342170,6.766846,10.823506,60.369937,55.693948,102.714923,116.390418,-74.411758,33.908008
gps_dropout,169,1.824651,1.093166,4.007094,1.144804,6.557429,6.281096,10.280487,10.351871,-74.406808,33.908008
gps_sparse,169,5.110474,3.162501,11.060937,12.303271,17.463739,15.141915,31.810599,39.879881,-74.406808,33.908008
